"model","boundary","t0","t0_chill","T_base","T_opt","T_min","T_max","a","b","c","d","e","f","g","w","C_ini","F_crit","C_req","P_crit","L_crit","D_crit","VPD_min","VPD_max","L_min","L_max","k","P_base","P_ini","P_req","T_req","SM_base","SM_req","SM_ini","cdd_thres","T_thres"
"M1W","lower",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"M1W","upper",365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA
"M1W_SM","lower",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"M1W_SM","upper",365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA
"M1Ws","lower",1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1Ws","upper",365,NA,NA,NA,NA,NA,NA,100,100,NA,NA,5,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1Ws_SM","lower",1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1Ws_SM","upper",365,NA,NA,NA,NA,NA,NA,100,100,NA,NA,5,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PA","lower",103,1,0,-5,-5,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PA","upper",365,365,10,10,10,15,NA,NA,NA,NA,NA,NA,NA,NA,1,2000,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAb","lower",1,1,-10,NA,NA,NA,0,-20,-10,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAb","upper",365,365,10,NA,NA,NA,10,20,10,NA,NA,NA,NA,NA,1,2000,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAW","lower",1,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"PAW","upper",365,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,1,300,NA,NA,NA,NA,NA,NA
"PAW_SM","lower",1,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
